news_headline,news_article,news_category
These actions will go long way: Rishad Premji on tech industry's 3 requests to govt,"Wipro Chairman Rishad Premji took to Twitter to share the tech industry's plea for support to the government in three key areas through NASSCOM amid the COVID-19's second wave. These include temporary relaxation in FCRA Act, liberalising vaccine import and data utilisation strategy. ""These actions will go a long way in helping arrest the immediate crisis at hand,"" he tweeted.",technology
Ethereum Co-founder donates $1 bn in crypto for India COVID-19 relief,"Ethereum blockchain's Co-founder Vitalik Buterin, who became the world's youngest cryptocurrency billionaire recently, has donated over $1 billion (over ₹7,360 crore) in cryptocurrency to the India COVID-Crypto Relief Fund. The 27-year-old transferred around 500 Ethereum and over 50 trillion of meme-based cryptocurrency Shiba Inu to the fund set up by Indian tech entrepreneur Sandeep Nailwal.",technology
Bitcoin falls 17% in 2 hrs after Musk says Tesla not accepting the cryptocurrency,"Bitcoin plunged as much as 17% in under two hours after Tesla CEO Elon Musk tweeted that Tesla suspended vehicle purchases using the cryptocurrency. ""We're concerned about rapidly increasing use of fossil fuels for Bitcoin mining and transactions,"" Musk wrote. Tesla won't sell any Bitcoin and will use it for transactions when ""mining transitions to more sustainable energy"", he added. ",technology
Elon Musk shares graph of Bitcoin's energy use after Tesla stops accepting it ,"Tesla's billionaire CEO Elon Musk on Thursday shared a graph showing the electricity used for Bitcoin mining and transactions from 2016 to date, adding, ""Energy usage trend over past few months is insane."" His tweet came hours after Tesla suspended vehicle purchases using Bitcoin. Tesla cited environmental concerns and increasing use of fossil fuels for Bitcoin mining for its decision.",technology
Billionaire Yusaku Maezawa to travel to International Space Station in December,"Japan's billionaire entrepreneur Yusaku Maezawa, the Founder of custom-fit apparel brand ZOZO, will travel to the International Space Station in December as a space tourist. Maezawa, along with his assistant Yozo Hirano, will travel aboard a Russian Soyuz MS-20 spacecraft scheduled for launch on December 8, 2021, from Kazakhstan. It is said that the flight will last 12 days.",technology
"Bezos sells $6.7 bn Amazon shares this month, to take home $5.1 bn","Amazon Founder and outgoing CEO Jeff Bezos has sold another $1.7 billion of Amazon stock, bringing the amount he's unloaded this month to about $6.7 billion. With this, the world's richest man has taken home $5.1 billion after taxes this month, according to Forbes' estimates. Bezos continues to hold around 10% of Amazon and has net worth of $188 billion.",technology
Google fined $123M by Italy for favouring Maps over JuicePass app,"Google has been fined 102 million euro ($123 million) by Italy's antitrust authority for abusing its dominant market position by not allowing Enel X's JuicePass app to operate on Android Auto. Google has unfairly limited the use of JuicePass app and favoured Google Maps, the regulator said. It further ordered Google to make JuicePass app available on Android Auto.",technology
CERT-In warns against fake COVID-19 vaccine registration apps,"The Indian Computer Emergency Response Team (CERT-In) has issued a warning about a fake SMS message claiming to offer an app to let users register for COVID-19 vaccine. ""The message carries a link that installs the malicious app on Android devices,"" CERT-In said. ""The app gains unnecessary permissions that attackers could leverage to acquire user data,"" it added.",technology
OkCredit launches website to help search for COVID-19 resources,"OkCredit has launched a website that allows people to search for medicines and critical COVID-19 treatment equipment. People can access the website at https://co-aid.in/ which will provide real-time information on the availability of medicines like Fabiflu, antibiotics, zinc and vitamins across India. It also provides crowdsourced data on the availability of oxygen cylinders and hospital beds.",technology
Man who claims he created Bitcoin files suit to secure 1L Bitcoin,"Australian computer scientist who claims he created Bitcoin has filed a lawsuit against 16 software developers in an effort to secure Bitcoin worth $5.7 billion. Craig Wright has demanded that the developers allow him to retrieve 1,11,000 Bitcoin held at two digital addresses. Wright said he doesn't have their private keys as they were lost when his computer was hacked.",technology
"Amazon will not have to pay its $303 mn tax bill, rules EU court","European Union's second-highest court has overturned a 2017 decision from the European Commission that ordered Amazon to pay 250 million euro ($303 million) in taxes to Luxembourg. EU regulators failed to show that Amazon was given special treatment by Luxembourg's tax authority in violation of state-aid rules, the court said. In a statement, Amazon said it welcomed the court's decision.",technology
"Ether briefly hits $500 billion market cap, surpasses $4,300 level","Ether jumped 7% on Wednesday to briefly breach the market capitalisation of $500 billion, as per data from CoinMarketCap. The cryptocurrency, which has surged almost 500% this year, also surpassed the $4,300 level to hit a record high of $4,372. Ether, also referred to as Ethereum, has outperformed world’s largest cryptocurrency Bitcoin, which has almost doubled in price this year.",technology
"Apple exec quits after 2,000 employees oppose his 'misogynistic' views","Apple has said that former Facebook product manager and ""Chaos Monkeys"" author Antonio García Martínez has left the company. This comes after 2,000 Apple employees sought an investigation into García Martínez's hiring and expressed concerns over his ""misogynistic"" and racist comments in the book, The Verge reported. ""We have always strived to create an inclusive, welcoming workplace,"" Apple said.",technology
US agency opens investigation into Tesla crash that killed driver,"US safety agency NHTSA has opened a new investigation into a fatal car crash that took place in California earlier this month. The incident involves a Tesla car which had crashed into an overturned truck on a highway. The car's 35-year-old driver was pronounced dead at the scene. ""We've launched a Special Crash Investigation for this crash,"" the NHTSA said.",technology
"RBI asks lenders to cut ties with crypto exchanges, traders: Report","The Reserve Bank of India (RBI) is reportedly urging lenders to cut ties with cryptocurrency exchanges and traders. ""The regulator has been unofficially asking us...why are we dealing in such business when it's ultra speculative,"" a senior executive at a bank told Reuters. Several private banks are also ""limiting their exposure to cryptocurrency market"", Reuters quoted a source as saying.",technology
Cryptocurrencies are better than gold for environment: Mark Cuban,"Billionaire investor Mark Cuban said he believes cryptocurrencies are a more environmentally friendly way to store wealth than gold. He added that his basketball team, Dallas Mavericks, would continue accepting Bitcoin, Dogecoin and Ether payments for tickets and merchandise. This comes after Tesla CEO Elon Musk tweeted that the company has suspended vehicle purchases using Bitcoin.",technology
Wouldn't invest firm's assets in Bitcoin: Billionaire investor Ackman,"Billionaire investor Bill Ackman said that he wouldn't invest assets of his firm into Bitcoin. ""I think crypto is a fascinating phenomenon...But it's not a place where I would feel comfortable personally putting any meaningful amount of assets in,"" he said. ""I would be concerned if a friend had a lot of their net worth invested in...cryptocurrencies,"" he added.",technology
Crypto-linked stocks fall as Musk holds Tesla's purchase via Bitcoins,"Stocks related to cryptocurrencies followed the sell-off in Bitcoins on Thursday after Tesla's CEO Elon Musk suspended Tesla's purchases with the asset. Bitcoins plunged as much as 17% after Musk said he was worried over the “rapidly increasing use of fossil fuels for Bitcoin mining and transactions"". Coinbase Global fell 4.8% in US post-market trading, Bloomberg reported.",technology
9 rare CryptoPunk portraits sell as NFTs for ₹124 crore,"A collection of nine CryptoPunk portraits has been auctioned as NFTs by the British auction house Christie's for $16,962,500 (about ₹124 crore). Created in 2017 by Larva Labs, the algorithmically-generated CryptoPunks are a series of 10,000 small pixel-art portraits featuring different attributes, like hairstyle, glasses, or hat. Rare traits tend to make for more valuable CryptoPunks. ",technology
Bitcoin jumps back above $50k after falling 17% over Musk's tweet,"Bitcoin surged back above $50,000 in Asian trade on Thursday, recovering some of the losses that followed Elon Musk's tweet that Tesla stopped accepting the cryptocurrency as payment for its cars.
The world's largest cryptocurrency had dropped 17% to around $45,700 in two hours following Musk's announcement. Over $365 billion was wiped off from total market value of the cryptocurrencies.",technology
"Gal Gadot, who served in Israeli army, shares post on Israel-Palestine conflict","Israel-born actress Gal Gadot shared a statement on Israel-Palestine conflict. Gadot, who served in the Israel Defense Forces as part of the country's policy of mandatory two year military service, wrote, ""My heart breaks...This is a vicious cycle that has been going on for far too long."" The 'Wonder Woman' actress further said she prays for better days.
",world
She's helping India: Actress defends Priyanka over silence on Israel-Palestine conflict,"Actress Yasmine Al Massri, who starred in 'Quantico', defended co-star Priyanka Chopra after a Twitter user questioned the latter's silence on Israel-Palestine conflict. ""Almost 2 billion people in India are struggling with the...pandemic! My friend is working to help her country,"" wrote Yasmine. The actress was born in Lebanon to a Palestinian father and an Egyptian mother.",world
Indian Army exchanges sweets with Pakistani army on Eid,"On the occasion of Eid-ul-Fitr on Thursday, Indian Army exchanged sweets with Pakistan Army at LOC at Poonch-Rawalakot and Mendhar-Hotspring check posts in Jammu and Kashmir. ""The gesture was appreciated by both the armies and is expected to promote goodwill and mutual trust,"" the Indian Army said. This comes amid recently agreed ceasefire by the two countries.",world
